,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState,state
0,117186,Consumer Defensive,1855,"Public Joint Stock Company Abrau-Durso produces and sells wine in Russia. The company offers sparkling wines, still wines, cider, low-alcohol beverages, spirits, artesian water, and non-alcoholic beverages. It also engages in the event, restaurant, hotel, and outdoor activities. The company was founded in 1870 and is headquartered in Moscow, Russia.",Moscow,7 495 933 3333,Russia,[],https://www.abraudurso.ru,1,Building 2,Beverages—Wineries & Distilleries,43a Sevastopolsky Avenue,0.29768,0.16354999,0.40574002,1166336000,0.231,0.24431999,2768460032,,none,3577750000,2955815168,,135,,2.426,0.07563,,,68.74,0.16289,,243306000,6893336064,9300160512,2.483,RUB,94.899,0.837,,MCX,ABRAU-DURSO PJSC,Public Joint Stock Company Abrau-Durso,Europe/Moscow,MSK,False,10800000,EQUITY,ABRD.ME,finmb_12029287,ru_market,,2.126,,7.142,-0.4685315,,,,98000200,,,,101.926,,,,1609372800,0,1521024000,15.5,2.86,0.14403355,1.3244903,0.94501996,1672444800,,1625011200,,,5388050,0.263814,19772368896,2,,1347408000,100:1,,1625788800,,,1.422559,,,,,,,,0,,,133.5,0,184.8975,0.02142322,0.066599995,,133.5,,0,133.5,147.88,2.86,0,,0,,,2.86,1625788800,,,133.5,RUB,8.709678,0,,,,13230026752,,,23391,133.5,0,30000,0,272.5,,,89,0,False,0.0251,300000,133.5,135,,https://logo.clearbit.com/abraudurso.ru,,,,,,,,,,,,,,,,,
0,125009,Communication Services,,"Sistema Public Joint Stock Financial Corporation, together with its subsidiaries, operates in the telecommunications, retail, high technology, finance, pulp and paper, utilities, pharmaceuticals, healthcare, agriculture, real estate, and tourism businesses in Russia and internationally. The company operates through Mobile TeleSystems, Segezha Group, RTI, and Ozon Holdings Limited segments. It provides mobile and fixed voice, broadband, internet access, pay TV, cable and satellite television, digital, mobile application, financial and e-commerce, and content and entertainment services; and produces plywood, paper sacks, unbleached sack paper, and sawn timber products. The company also develops, manufactures, and supplies complex radar, information and integrated automated control systems and command centers, communications equipment, and electronic devices; and operates online platform for retail stores, travel agencies, electronic libraries, and various financial services, as well as healthcare facilities that offers prevention, diagnosis, treatment, and rehabilitation services for children and adults. In addition, it engages in the asset management and venture capital activities; crop and dairy farming, and vegetable and fruit growing activities; and developing and manufacturing of air-, sea-, and land-based systems; and civilian unmanned projects. Further, the company develops, manufactures, and sells pharmaceutical and generic drugs; owns, develops, constructs, and rents real estate properties; transmits and distributes electricity; and operates hotels, as well as children's and women's clothes and accessories, and underwear under the Acoola, Concept Club, and Infinity Lingerie brand names through a network of 263 stores. Sistema Public Joint Stock Financial Corporation was founded in 1993 and is based in Moscow, Russia.",Moscow,7 495 737 0101,Russia,[],https://www.sistema.com,1,Building 1,Telecom Services,,0.24835,0.01574,0.515,105505996800,0.218,0.14801,191239995392,30.66,buy,361571000000,120752128000,51.11,12.603,-0.64,0.66,0.04818,6,49.06,934.729,0.54512,58.26,197689999360,970295017472,770028011520,20.036,RUB,81.268,0.513,1.7,MCX,SISTEMA PJSFC,Sistema Public Joint Stock Financial Corporation,Europe/Moscow,MSK,False,10800000,EQUITY,AFKS.ME,finmb_8819311,ru_market,,1.203,,4.845,-0.6281338,,0.02,,9506180096,,,,7.512,,,,1609372800,0.08225001,11589000192,1.279,0.31,0.14403355,1.6777155,0.66814005,1672444800,,1632960000,,,3129410666,1.122103,926645616640,2,,,,,1626220800,,-0.62,0.15558705,,,,630.15,,,,0,,,12.89,13.1,25.084024,0.02404965,0.2441,,13.299,,9385740,12.89,16.83314,0.31,13.1,,9385740,,,0.31,1626220800,,,12.603,RUB,9.853791,31222800,,,,119806386176,,,46082182,12.603,12.603,200000,31222800,37.976,,4.12,10,12.603,False,0.024,1680000,13.299,12.603,,https://logo.clearbit.com/sistema.com,7 495 730 0330,,,,,,,,,,,,,,,,
0,119019,Industrials,,"Public Joint Stock Company Aeroflot - Russian Airlines, together with its subsidiaries, provides passenger and cargo air transportation services in Russia and internationally. It also offers other aviation services related to air transportation. In addition, the company provides airline catering, finance, education, and technical maintenance services, as well as operates a hotel. As of December 31, 2021, it operated a fleet of 356 aircraft. The company was founded in 1923 and is headquartered in Moscow, Russia.",Moscow,7 495 223 5555,Russia,[],https://www.aeroflot.ru,1,1 Arbat Street,Airlines,,-0.0031299999,-0.069359995,0.19742,94846001152,0.905,-0.0096700005,-1540000000,62,buy,97078000000,88749498368,69.6,25.1,,0.698,-0.0028,6,73.18,,,94.3,95963996160,797550968832,491732992000,40.04,RUB,205.171,0.504,2.5,MCX,AEROFLOT PJSC,Public Joint Stock Company Aeroflot - Russian Airlines,Europe/Moscow,MSK,False,10800000,EQUITY,AFLT.ME,finmb_2947378,ru_market,,1.533,,-489.485,-0.5443752,,10.88,,2396720128,,,,-57.788,,,,1640908800,0.04078,-34105999360,-14.23,2.1928039,0.14403355,,0.5734,1703980800,,1640908800,,,995045268,0.955882,753807589376,2,,,,,1562198400,,,0.122338094,,-2.85,,2.3069854,,,,0,,,30.7,27.64,61.6871,0,0,,30.4,,3015204,30.7,47.7072,0,27.64,,3015204,,,,1562198400,,,25.1,RUB,,41384740,,,,60157677568,,,14091505,25.1,25.1,6450000,41384740,74.6,,,25.1,25.1,False,,80000,30.4,25.1,,https://logo.clearbit.com/aeroflot.ru,,,,,,,,,,,,,,,,,
0,123610,Basic Materials,,"Public Joint Stock Company Acron, together with its subsidiaries, manufactures, distributes, and sells chemical fertilizers and related mineral primary and by-products. The company provides mineral fertilizers, including complex and nitrogen fertilizers; organic compounds comprising methanol, formalin, urea-formaldehyde resins, melamine-urea-formaldehyde resins, and dipping resins; and non-organic compounds, such as low and high density ammonium nitrate, conversion calcium carbonate, liquid carbon dioxide, and urea for diesel exhaust fluid production. It also offers rare earth elements (REE) from apatite concentrate process flows consisting of cerium, lanthanum, neodymium, and didymium, as well as concentrates of light, medium, and heavy REE; and apatite concentrate and ammonia. In addition, the company operates seaport terminals. It operates in Latin America, European Union, Russia, the United States, Canada, Asia, the People's Republic of China, Commonwealth of Independent States, and internationally. The company was incorporated in 1992 and is headquartered in Moscow, Russia. Public Joint Stock Company Acron is a subsidiary of JSC Acron Group.",Moscow,7 495 745 7745,Russia,[],https://www.acron.ru,1,World Trade Centre,Agricultural Inputs,12 Krasnopresnenskaya Naberezhnaya,0.46691,0.34056,0.6,58481999872,0.728,0.39999,79837003776,112.04,hold,54047000000,27245375488,126.05,14076,,1.987,0.18384,2,126.05,81.448,0.67397004,140.06,16257000448,92984000512,170990993408,442.281,RUB,4617.115,1.016,3.3,MCX,ACRON PJSC,Public Joint Stock Company Acron,Europe/Moscow,MSK,False,10800000,EQUITY,AKRN.ME,finmb_20417055,ru_market,,3.622,,7.758,1.0900812,,6.84,,36757200,,,,2395.289,,,,1609372800,0.00026,58232000512,1571.949,240,0.14403355,5.876535,0.86033,1672444800,,1632960000,,,1842636,-0.550356,619358584832,2,,,,,1646611200,,,3.0258572,,,,2057.8948,,,,0,,,14052,0,9837.49,0.0042698546,0.019199999,,14052,,0,14052,13430.68,60,0,,0,,,1020,1646611200,,,14052,RUB,8.954489,0,,,,517394333696,,,11316,14052,0,700,0,17566,,6.7,5736,0,False,0.0794,3000,14052,14076,,https://logo.clearbit.com/acron.ru,7 499 246 2359,,,,,,,,,,,,,,,,
0,678174,Basic Materials,,"Public Joint Stock Company ALROSA, together with subsidiaries, operates as a diamond mining company. It is involved in the exploration and extraction of diamonds; and production and sale of jewelry. The company operates mining facilities in Nyurba, Aikhal, Udachny, Almazy Anabara, Lomonosovsky, and Mirny located in Yakutia, as well as in the Arkhangelsk region. It also provides wholesale and retail trade, financial, security, market research, drilling and blasting operations, construction, and health resort services, as well as air, road, and marine cargo transportation services. In addition, the company is involved in the generation of steam and hot water; production of industrial products from precious metals and gems, coins, and medals; polishing and other processing of gems; production and transportation of natural gas; and generation and distribution of electricity. It operates in Belgium, India, the United Arab Emirates, Russia, Israel, Hong Kong, China, the CIS countries, and internationally. The company was founded in 1957 and is headquartered in Mirny, Russia.",Mirny,7 411 369 0021,Russia,[],https://www.alrosa.ru,1,6 ulitsa Lenina,Other Precious Metals & Mining,,0.45407,0.29907,0.50241,124819996672,-0.304,0.3808,138093002752,113,buy,152794000000,87226122240,150,89.98,-0.437,3.136,0.15357,11,148.97,54.828,0.37382,196.35,61340000256,122540998656,304122986496,8.505,RUB,42.174,1.318,2,MCX,ALROSA PJSC,Public Joint Stock Company ALROSA,Europe/Moscow,MSK,False,10800000,EQUITY,ALRS.ME,finmb_8379759,ru_market,,2.335,,5.142,-0.17536902,,17.03,,7212640256,,,,30.995,,,,1640908800,0.13817,90952998912,12.613,8.79,0.14403355,2.903049,0.58026004,1703980800,,1640908800,,,2349516122,0.551693,710138003456,2,,,,,1634515200,,-0.437,2.1339834,,5.65,,5.283617,,,,0,,,89.39,90.99,123.65915,0,1.4536,,92.78,,2019508,89.39,100.5436,0,90.99,,2019508,,,18.33,1634515200,,,87.55,RUB,7.1339097,8534790,,,,648993374208,,,26300889,87.55,88.39,90000,8534790,153.68,,9.32,55.7,89.98,False,0.2051,230000,92.78,89.98,,https://logo.clearbit.com/alrosa.ru,7 411 363 0451,,,,,,,,,,,,,,,,
0,456010,Basic Materials,,"Public Joint Stock Company 'Ashinskiy metallurgical works' operates as a metallurgical company in Russia. The company manufactures and sells amorphous and nanocrystalline alloys; hot-rolled and cold-rolled steel sheets; flat carbon and stainless sheets; ribbons and tape wires; and stainless steel durable products under the AMET brand. It serves household, chemical, aviation, and space industries. The company was founded in 1898 and is based in Chelyabinsk, Russia.",Chelyabinsk,7 3515 93 14 62,Russia,[],https://www.amet.ru,1,"Mira, d. 9",Steel,"Asha, ul.",0.17289,0.10342,0.23653999,4070810880,0.65,0.14916,5493296128,,none,4207994000,2555175936,,19.74,8.969,2.345,0.15816,,,40.688,0.32346,,4694082048,4802151936,31773908992,9.561,RUB,64.719,1.399,,MCX,ASHINSKIY METALLUR,"Public Joint Stock Company ""Ashinskiy metallurgical works""",Europe/Moscow,MSK,False,10800000,EQUITY,AMEZ.ME,finmb_20443434,ru_market,,0.31,,1.791,1.4548388,,,,490955008,,,,24.04,,,,1609372800,0.00090000004,3286142976,6.693,,0.14403355,0.8211314,0.83544,1672444800,,1625011200,,,74512213,0.643939,9838794752,2,,,,,,,8.969,0.30501288,,,,,,,,0,,,19.82,0,18.266424,0,0,,19.82,,0,19.82,19.1437,0,0,,0,,,,,,,19.82,RUB,2.94935,0,,,,9691451392,,,801275,19.82,0,2990000,0,26.175,,,7.55,0,False,,10000,19.82,19.74,,https://logo.clearbit.com/amet.ru,7 3515 93 20 42,,,,,,,,,,,,,,,,
0,121096,Healthcare,,"Public Joint-Stock Company Pharmacy Chain 36.6 operates pharmacies in Russia. Its pharmacies offer health and beauty products. The company serves customers under the 36.6, Romir, and Gorzdrav brands. Public Joint-Stock Company Pharmacy Chain 36.6 was founded in 1991 and is based in Moscow, Russia.",Moscow,7 495 797 8686,Russia,[],https://pharmacychain366.ru,1,"St. Vasilisa Kozhina, Building 1",Pharmaceutical Retailers,,0.063200004,0.17482,0.34944,1276000000,0.094,0.0357,2595000064,,none,13407000000,8088625152,,11.83,,0.704,0.026099999,,,,,,1820000000,31202000896,41059999744,0.239,RUB,5.65,0.28,,MCX,PHARMACY CHAIN 36.,Public Joint-Stock Company Pharmacy Chain 36.6,Europe/Moscow,MSK,False,10800000,EQUITY,APTK.ME,finmb_10724832,ru_market,,2.933,,46.414,-0.2814815,,,,7630430208,,,,-0.917,,,,1609372800,0,-165000000,0.988,,0.14403355,,0.17723,1672444800,,1625011200,,,7199390619,0.283868,120443600896,2,,,,,,,,2.198441,,,,,,,,0,,,11.934,0,13.17522,0,0,,11.934,,0,11.934,11.99596,0,0,,0,,,,,,,11.934,RUB,11.973684,0,,,,90267992064,,,531824,11.934,0,85000,0,15.7,,,8.394,0,False,,1000,11.934,11.83,,https://logo.clearbit.com/pharmacychain366.ru,7 495 797 8686,,,,,,,,,,,,,,,,
0,121353,Consumer Defensive,,"PJSC Russian Aquaculture engages in farming and distribution of fish and caviar in the Republic of Karelia and Murmansk region, Russia. It engages in the commercial farming of atlantic salmon and sea trout. The company was formerly known as OJSC Russian Sea Group and changed its name to PJSC Russian Aquaculture in February 2015. The company was founded in 1997 and is headquartered in Moscow, Russia.",Moscow,7 4952 58 99 28,Russia,[],https://russaquaculture.ru,1,4 Belovezhskaya Street,Farm Products,Western Gate,0.64048,0.55883,0.63623,-116360000,0.278,0.57866,6275896832,460.36,sell,3516034000,-4257378048,460.36,422.5,,2.641,0.18884,1,460.36,71.79,0.50778,460.36,2609350912,9331050496,9798690816,30.411,RUB,114.176,0.607,5,MCX,RUSSIAN AQUACULTUR,PJSC Russian Aquaculture,Europe/Moscow,MSK,False,10800000,EQUITY,AQUA.ME,finmb_35532062,ru_market,,5.765,,9.001,,,,,87483696,,,,151.481,,,,1609372800,0.00151,5475785216,63.805,,,2.7891285,0.82065004,1672444800,,1625011200,,,18407520,0.020796,56487985152,2,,,,,,,,3.7721224,,,,,,,,,,,420,0,493.23,0.021428572,0.0785,,420,,0,420,487.27,9,0,,0,,,17,1639699200,,,420,RUB,6.621738,0,,,,36961861632,,,23445,420,0,10000,0,670,,,276.5,0,False,0.0293,1000000,420,422.5,,https://logo.clearbit.com/russaquaculture.ru,,,,,0196371c-df95-38c0-b05a-882f2771f5a8,,,,,,,,,,,,
0,,Financial Services,,"Arsagera Asset Management operates as an investment manager in Russia. The company manages mutual investment funds, as well as provides individual trust management services. Arsagera Asset Management was founded in 2004 and is based in Saint-Petersburg, Russia.",Saint Petersburg,7 812 313 0530,Russia,[],https://www.arsagera.ru,1,"st. Shatelena, 26A",Asset Management,8th Floor business center Renaissance,0.62907004,0.50706,0.7408,24698000,,0.62732,95119504,,none,39623000,72181624,,5.61,,24.784,0.23216999,,,1.843,0.32547,,271460000,4865000,151206000,2.192,RUB,1.221,24.646,,MCX,ARSAGERA ASSET MGM,Arsagera Asset Management,Europe/Moscow,MSK,False,10800000,EQUITY,ARSA.ME,finmb_36215513,ru_market,,4.395,,6.986,,,,,123817000,,,,2.132,,,,1609372800,0,76671000,0.619,,,2.6313322,0.80698997,1672444800,,1617148800,,,22197912,0.498672,664508864,2,,,,,,,,4.5938215,,,,,,,,,,,5.52,0,7.193,0.036231883,0.26049998,,5.52,,0,5.52,6.4594,0.2,0,,0,,,0.2,1625184000,,,5.52,RUB,9.0630045,0,,,,694613376,,,27852,5.52,0,600000,0,10.53,,,3.94,0,False,0.026500002,600000,5.52,5.61,,https://logo.clearbit.com/arsagera.ru,7 812 313 0533,,,,eba17d6d-e984-33ec-aaf3-5e4df7460c4d,,,,,,,,,,,,
0,414000,Utilities,368,"Astrakhan Power Sale Company Public Joint Stock Company supplies power primarily in Russia. It purchases and sells electricity to private and business clients. The company is based in Astrakhan, Russia.",Astrakhan,8 8512 24 90 00,Russia,[],https://www.astsbyt.ru,1,letter A building,Utilities—Regulated Electric,"pl. John Reed, 3",-0.09272,0.00479,0.50462,,0.139,-0.09300999,-1144929792,,none,5894685000,,,0.6635,,1.841,-0.18516001,,,155.075,0.36330003,,5317000,298371008,12347620352,0.007,RUB,14.777,1.832,,MCX,ASTRAKHAN POWER SA,Astrakhan Power Sale Company Public Joint-Stock Company,Europe/Moscow,MSK,False,10800000,EQUITY,ASSB.ME,finmb_23939660,ru_market,,0.075,,-0.812,,,,,765507008,,,,0.172,,,,1609372800,0,59129000,0.133,,,3.857558,0.92364997,1672444800,,1632960000,,,53975926,0.305752,929573376,4,,,,,,,,0.04113456,,,,,,,,,,,0.6635,0,0.8422625,0.18085907,0,,0.6635,,0,0.6635,0.72486,0.12,0,,0,,,,1594339200,,,0.6635,RUB,4.988722,0,,,,507913920,,,114000,0.6635,0,6400000,0,1.5,,,0.455,0,False,,100000,0.6635,0.6635,,https://logo.clearbit.com/astsbyt.ru,,,,,304bd586-8f04-3f5b-8d4e-957b602a38d3,,,,,,,,,,,,
